id;encontrado;nombre;vida;ubicacion
0;0;Frowning Gaper;10;"Basement;Cellar;Burning Basement;Chest"
1;0;Gaper;10;"Basement;Cellar;Burning Basement"
2;0;Flaming Gaper;9;Burning Basement
3;0;Gusher;10;"Basement;Cellar;Burning Basement"
4;0;Pacer;10;"Basement;Cellar;Burning Basement"
5;0;Horf;10;"Basement;Cellar;Burning Basement"
6;0;Fly;3;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral"
7;0;Pooter;8;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Utero;Cathedral"
8;0;Super Pooter;8;"Basement;Cellar;Burning Basement;Caves;Catacombs;Necropolis;Utero"
9;0;Clotty;15;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Womb;Utero;Scarred Womb"
10;0;Clot;15;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Dank Depths;Utero;Cathedral"
11;0;I.Blob;15;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral"
12;0;Mulligan;13;"Basement;Cellar;Burning Basement"
13;0;Mulligoon;13;"Basement;Cellar;Burning Basement"
14;0;Mulliboom;13;"Basement;Cellar;Burning Basement;Caves;Catacombs"
15;0;Attack Fly;5;"Basement;Cellar;Burning Basement;Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Scarred Womb;Chest"
16;0;Maggot;15;"Caves;Catacombs;Flooded Caves"
17;0;Hive;20;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths"
18;0;Drowned Hive;18;Flooded Caves
19;0;Charger;20;"Caves;Catacombs;Flooded Caves;Womb;Utero;Scarred Womb"
20;0;Drowned Charger;22;Flooded Caves
21;0;Dank Charger;26;Dank Depths
22;0;Globin;33;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Cathedral"
23;0;Gazing Globin;33;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Sheol;Cathedral"
24;0;Dank Globin;33;"Dank Depths;Sheol"
25;0;Boom Fly;20;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths"
26;0;Red Boom Fly;20;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Cathedral"
27;0;Drowned Boom Fly;20;Flooded Caves
28;0;Maw;20;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb"
29;0;Red Maw;20;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Utero;Scarred Womb;Chest"
30;0;Psychic Maw;20;"Caves;Flooded Caves;Depths;Necropolis;Dank Depths;Utero;Cathedral"
31;0;Host;14;"Caves;Catacombs;Flooded Caves;Depths;Necropolis;Dank Depths;Womb;Scarred Womb;Sheol;Cathedral"
