Id;Encontrado;Nombre;Efecto;Tipo
1;0;THE SAD ONION;Da lagrimas +0.7.;PASIVO
2;0;THE INNER EYE;Da triple disparo pero disminuye la cadencia.;PASIVO
3;0;SPOON BENDER;Las lagrimas siguen a los enemigos.;PASIVO
4;0;CRICKET'S HEAD;Da dano +0.5 y un multiplicador de dano x1.5.;PASIVO
5;0;MY REFLECTION;Da rango +1.5, +1 de altura de lagrima y un multiplicador de velocidad del proyectil x 1.6. las lagrimas tendran un efecto de bumeran.;PASIVO
6;0;NUMBER ONE;Da lagrimas +1.5 pero reduce mucho el rango.;PASIVO
7;0;BLOOD OF THE MARTYR;Da dano +1 y le da a isaac lagrimas de sangre.;PASIVO
8;0;BROTHER BOBBY;Un familiar que sigue a isaac y dispara lagrimas normales.;PASIVO
9;0;SKATOLE;Algunos tipos de mosca seran inofensivas o aliadas.;PASIVO
10;0;HALO OF FLIES;Da 2 moscas que orbitan alrededor del jugador y que bloquean proyectiles.;PASIVO
11;0;1UP;Da una vida extra. al morir, isaac reaparece en la habitacion anterior con vida completa y pierde 1up!ac.;PASIVO
12;0;MAGIC MUSHROOM;Hace a isaac mas grande. da un contenedor de vida roja, dano +0.3, dano x1.5, rango +5.25 y velocidad +0.3. cura toda la vida roja al recogerlo.;PASIVO
13;0;THE VIRUS;Isaac envenena a los enemigos al entrar en contacto. velocidad +0.2;PASIVO
14;0;ROID RAGE;Da rango +5.25, +0.5 de altura de lagrima y velocidad +0.6.;PASIVO
15;0;<3;Da un contenedor de vida roja y cura completamente la vida de isaac.;PASIVO
16;0;RAW LIVER;Da 2 contenedores de vida roja y cura completamente a isaac.;PASIVO
17;0;SKELETON KEY;Da 99 llaves.;PASIVO
18;0;A DOLLAR;Da 99 monedas.;PASIVO
19;0;BOOM!;Da 10 bombas.;PASIVO
20;0;TRASCENDENCE;Permite volar.;PASIVO
21;0;THE COMPASS;Revela las habitaciones especiales en el mapa, excepto habitaciones secretas.;PASIVO
22;0;LUNCH;Da un contenedor de vida roja lleno.;PASIVO
23;0;DINNER;Da un contenedor de vida roja lleno.;PASIVO
24;0;DESSERT;Da un contenedor de vida roja lleno.;PASIVO
