ID;ENCONTRADO;ITEM;EFECTO;
1;0;THE SAD ONION;Da Lagrimas +0.7.;
2;0;THE INNER EYE;Da triple disparo pero disminuye la cadencia.;
3;0;SPOON BENDER;Las lagrimas siguen a los enemigos.;
4;0;CRICKET'S HEAD;Da DaNo +0.5 y un multiplicador de DaNo x1.5.;
5;0;MY REFLECTION;Da Rango +1.5, +1 de altura de lagrima y un multiplicador de Velocidad del proyectil x 1.6. Las lagrimas tendran un efecto de bumeran.;
6;0;NUMBER ONE;Da Lagrimas +1.5 pero reduce mucho el rango.;
7;0;BLOOD OF THE MARTYR;Da DaNo +1 y le da a Isaac lagrimas de sangre.;
8;0;BROTHER BOBBY;Un familiar que sigue a Isaac y dispara lagrimas normales.;
9;0;SKATOLE;Algunos tipos de mosca seran inofensivas o aliadas.;
10;0;HALO OF FLIES;Da 2 moscas que orbitan alrededor del jugador y que bloquean proyectiles.;
11;0;1UP;Da una vida extra. Al morir, Isaac reaparece en la habitacion anterior con vida completa y pierde 1up!ac.;
12;0;MAGIC MUSHROOM;Hace a Isaac mas grande. Da un contenedor de vida roja, DaNo +0.3, DaNo x1.5, Rango +5.25 y Velocidad +0.3. Cura toda la vida roja al recogerlo.;
13;0;THE VIRUS;Isaac envenena a los enemigos al entrar en contacto. Velocidad +0.2;
14;0;ROID RAGE;Da Rango +5.25, +0.5 de altura de lagrima y Velocidad +0.6.;
15;0;<3;Da un contenedor de vida roja y cura completamente la vida de Isaac.;
16;0;RAW LIVER;Da 2 contenedores de vida roja y cura completamente a Isaac.;
17;0;SKELETON KEY;Da 99 llaves.;
18;0;A DOLLAR;Da 99 monedas.;
19;0;BOOM!;Da 10 bombas.;
20;0;TRASCENDENCE;Permite volar.;
21;0;THE COMPASS;Revela las habitaciones especiales en el mapa, excepto habitaciones secretas.;
22;0;LUNCH;Da un contenedor de vida roja lleno.;
23;0;DINNER;Da un contenedor de vida roja lleno.;
24;0;DESSERT;Da un contenedor de vida roja lleno.;
25;0;BREAKFAST;Da un contenedor de vida roja lleno.;
26;0;ROTTEN MEAT;Da un contenedor de vida roja lleno;
27;0;WOODEN SPOON;Da Velocidad +0.3.;
28;0;THE BELT;Da Velocidad +0.3.;
29;0;MOM'S UNDERWEAR;Da Rango +5.25 y +0.5 de altura de lagrima.;
30;0;MOM'S HEELS;Da Rango +5.25 y +0.5 de altura de lagrima. ;
31;0;MOM'S LIPSTICK;Da Rango +5.25 y +0.5 de altura de lagrima.;
32;0;WIRE COAT HANGER;Da Lagrimas +0.7.;
33;0;THE BIBLE;Al activarlo, Isaac puede volar durante la habitacion actual, mata instantaneamente a Mom, Mom's Heart y It Lives, y mata a Isaac si se usa contra Satan.;
34;0;THE BOOK OF BELIAL;DaNo +2 durante la habitacion actual.Aumenta la probabilidad de que aparezca la habitacion de Satan un 12.5%.;
35;0;THE NECRONOMICON;Causa 40 de daNo a todos los enemigos de la habitacion.;
36;0;THE POOP;Hace aparecer una caca en el lugar donde Isaac se encuentre y empuja a los enemigos cercanos. Puede generar recursos como las cacas normales.;
37;0;MR. BOOM;Coloca una bomba con efecto de Mr. MEGA que causa 110 de daNo.;
38;0;TAMMY'S HEAD;Dispara 10 lagrimas alrededor de Isaac que toman su daNo, velocidad de proyectil y efectos de lagrima.;
39;0;MOM'S BRA;Petrifica a todos los enemigos en la habitacion durante 4 segundos.;
40;0;KAMIKAZE;Crea una explosion en el mismo lugar que Isaac, daNandolo medio corazon y causando 40 de daNo a los enemigos atrapados por la explosion.;
41;0;MOM'S PAD;Causa miedo en todos los enemigos de la habitacion durante 5 segundos.;
42;0;BOB'S ROTTEN HEAD;Al activarlo, Isaac sostiene una bomba venenosa que puede lanzar en las direcciones cardinales y explota al impactar.;
44;0;TELEPORT;Teletransporta a Isaac a una habitacion al azar del piso actual.;
45;0;YUM HEART;Cura un corazon rojo.;
46;0;LUCKY FOOT;Da Suerte +1, aumenta la probabilidad de ganar en el Trile y Maquinas de la fortuna.;
47;0;DOCTOR'S REMOTE;Crea una mira en el piso que se puede mover con los controles de disparo. Un misil cae en ese punto despues de 2 segundos, creando una gran explosion.;
48;0;CUPID'S ARROW;Da lagrimas perforantes que atraviesan enemigos.;
49;0;SHOOP DA WOOP!;Dispara un laser desde la boca de Isaac.;
50;0;STEVEN;Da daNo +1.;
51;0;PENTAGRAM;Da DaNo +1. Aumenta la probabilidad de la habitacion del pacto un 10%.;
52;0;DR. FETUS;Las lagrimas son reemplazadas por bombas que aprovechan efectos de bomba.;
53;0;MAGNETO;Atrae los recursos hacia Isaac.;
54;0;TREASURE MAP;Revela todas las habitaciones del piso, pero no revela el tipo de habitacion ni las habitaciones secretas.;
55;0;MOM'S EYE;Puede disparar una lagrima adicional desde la parte trasera de la cabeza de Isaac.;
56;0;LEMON MISHAP;Crea un pequeNo charco de creep, daNando a los enemigos que lo pisen.;
57;0;DISTANT ADMIRATION;Una mosca que orbita alrededor de Isaac a una distancia intermedia, causando daNo por contacto.;
58;0;BOOK OF SHADOWS;Crea un escudo que anula todo tipo de daNo durante 10 segundos.;
60;0;THE LADDER;Permite caminar sobre agujeros del tamaNod de un cuadro colocando automaticamente una escalera entre dos secciones caminables.;
62;0;CHARM OF THE VAMPIRE;Cura a Isaac medio corazon rojo por cada 13 enemigos matados.;
63;0;THE BATTERY;Los objetos activables pueden ser "sobrecargados" para tener una segunda carga de uso.;
64;0;STEAM SALE;Reduce todos los precios de la tienda a la mitad.;
65;0;ANARCHIST'S BOOK;Hace aparecer 6 bombas troll en la habitacion.;
66;0;THE HOURGLASS;Todos los enemigos de la habitacion son ralentizados durante 8 segundos.;
67;0;SISTER MAGGY;Un familiar que dispara lagrimas normales;
68;0;TECHNOLOGY;Reemplaza las lagrimas de Isaac por un laser perforante de rango ilimitado.;
69;0;CHOCOLATE MILK;Da lagrimas cargadas que causan mucho daNo cuando la carga esta completa.;
70;0;GROWTH HORMONES;Da DaNo +1 y Velocidad +0.4.;
71;0;MINI MUSH;Reduce el tamaNo de Isaac y da Velocidad +0.3, +1.5 de altura de lagrima y Rango -4.25.;
72;0;ROSARY;Da 3 corazones de alma y permite que The Bible pueda aparecer en cualquier fuente de obtencion de objetos.;
73;0;CUBE OF MEAT;Un familiar orbital que bloquea proyectiles y causa daNo por contacto. Conseguir copias adicionales le permitira disparar, despues podra seguir a enemigos y en su ultimo nivel causa mas daNo.;
74;0;A QUARTER;Da 25 monedas.;
75;0;PHD;Convierte las pildoras malas en pildoras buenas, hace aparecer una pildora e identifica todas las pildoras. Cura 2 corazones rojos y aumenta el pago de las maquinas de donacion de sangre.;
76;0;X-RAY VISION;Revela y abre las entradas de las habitaciones secretas y super secretas.;
